student_id,name,branch,current_semester,section,avg_score,attendance_rate,marks_std_dev,total_absences,subject_count,consistency_score,improvement_rate
CSE20210033,Timothy Pandey,CSE,6,C,65.53,69.98,6.0,27,6,94.0,-4.88
IT20230034,Reyansh Sastry,IT,1,A,22.72,48.22,19.4,46,6,80.6,-2.74
CSE20210035,Aryan Nagarajan,CSE,6,B,90.9,95.36,4.4,4,6,95.6,-4.33
IT20210036,Umang Joshi,IT,6,C,88.38,86.47,4.52,12,5,95.48,1.6
IT20210037,Harini Varghese,IT,5,C,55.09,76.9,14.31,20,5,85.69,-3.66
CIVIL20200038,Ishani Thaman,CIVIL,8,B,36.11,37.69,11.65,56,5,88.35,0.29
ECE20220039,Tejas Varghese,ECE,4,B,94.35,94.52,6.45,4,6,93.55,3.03
CSE20220040,Gautam Khurana,CSE,4,C,63.76,71.88,6.45,25,6,93.55,4.7
ECE20230041,Yadavi Buch,ECE,2,A,61.8,81.49,14.55,16,6,85.45,3.53
CSE20220042,Kamala Pant,CSE,3,C,52.38,62.9,12.49,33,6,87.51,1.27
CIVIL20220043,Ekansh Palla,CIVIL,4,A,63.04,82.96,14.72,15,6,85.28,0.61
ECE20210044,Frederick Chand,ECE,5,C,95.63,99.92,5.74,0,6,94.26,-4.0
CSE20210045,Shravya Hayre,CSE,6,A,67.76,75.48,12.29,22,6,87.71,-4.23
ECE20210046,Advay Bath,ECE,6,B,50.92,75.74,14.77,21,5,85.23,-1.54
MECH20210047,Ati Mandal,MECH,6,C,73.65,74.98,8.72,22,5,91.28,-1.49
CSE20220048,Vamakshi Sule,CSE,3,A,72.06,69.66,8.91,27,6,91.09,-0.63
CIVIL20200049,Meghana Oza,CIVIL,8,B,79.43,90.25,5.22,8,5,94.78,1.03
CSE20220050,Veda Rajagopalan,CSE,3,B,31.58,45.41,13.99,49,6,86.01,-0.09
IT20230051,Omaja Raman,IT,1,A,65.14,82.8,9.49,15,6,90.51,-2.92
MECH20230052,Ikbal Kala,MECH,1,C,64.54,68.41,8.21,28,6,91.79,3.56
IT20200053,Naksh Upadhyay,IT,7,B,59.6,81.04,12.04,17,5,87.96,-2.28
CSE20220054,Anamika Mitter,CSE,3,C,71.71,89.88,7.95,9,6,92.05,-4.83
CIVIL20220055,Nidhi Ghose,CIVIL,3,A,50.04,78.96,7.68,18,6,92.32,-3.74
CSE20200056,Bhavya Srivastava,CSE,7,A,57.6,64.2,8.67,32,5,91.33,3.64
CIVIL20210057,Neel Kumar,CIVIL,6,A,44.2,62.81,13.49,33,6,86.51,4.19
IT20220058,Sanya Chanda,IT,4,A,62.24,64.41,12.43,32,6,87.57,4.54
ECE20210059,Samarth Walia,ECE,5,C,64.15,64.89,6.92,31,5,93.08,-4.35
CSE20210060,Charita Buch,CSE,5,C,88.09,92.95,5.91,6,5,94.09,-2.53
CSE20220061,Manbir Goel,CSE,4,C,20.02,58.53,13.55,37,5,86.45,-1.62
CIVIL20230062,Mohini Bhatnagar,CIVIL,2,B,25.35,93.59,21.52,5,6,78.48,-4.33
MECH20200063,Yagnesh Mukherjee,MECH,8,B,54.43,82.65,9.3,15,5,90.7,-3.13
MECH20210064,Aahana Mandal,MECH,5,B,74.55,66.06,6.63,30,6,93.37,2.74
CSE20230065,Farhan Grover,CSE,1,B,63.23,61.99,10.79,34,6,89.21,-4.13
MECH20210066,George Dugar,MECH,6,B,72.34,66.42,9.09,30,6,90.91,-0.78
CSE20210067,Tristan Patla,CSE,6,C,44.71,53.66,13.6,41,5,86.4,4.41
IT20200068,Vansha Doctor,IT,7,B,55.69,60.07,6.68,35,6,93.32,-2.06
CIVIL20230069,Diya Dalal,CIVIL,2,A,88.7,53.02,19.37,42,6,80.63,-3.5
ECE20220070,Aadhya Dyal,ECE,4,A,75.58,88.85,4.68,10,6,95.32,3.58
CIVIL20200071,Avi Dass,CIVIL,8,A,70.67,77.46,5.96,20,5,94.04,-2.06
IT20220072,Devika Sidhu,IT,3,C,60.91,68.29,12.26,28,5,87.74,-1.66
MECH20220073,Ishaan Agate,MECH,4,B,96.18,96.67,5.04,2,5,94.96,0.31
CSE20230074,Vasatika Dash,CSE,2,A,54.6,76.84,11.83,20,6,88.17,-3.35
ECE20210075,Luke Khalsa,ECE,5,B,74.18,70.15,11.13,26,6,88.87,0.4
ECE20230076,Zilmil Prasad,ECE,1,C,73.49,81.3,8.01,16,6,91.99,3.16
IT20200077,Qabil Brar,IT,7,A,28.33,30.02,16.69,62,5,83.31,1.56
CIVIL20210078,Damini Goel,CIVIL,6,C,23.36,54.82,8.0,40,5,92.0,-3.25
ECE20230079,Qushi Pathak,ECE,1,C,54.09,63.48,5.72,32,5,94.28,4.83
CIVIL20200080,Zayan Karpe,CIVIL,8,B,76.08,96.79,5.84,2,5,94.16,-0.06
ECE20200081,Zashil Acharya,ECE,7,A,27.73,61.34,12.81,34,5,87.19,-2.18
CIVIL20230082,Aradhana Pai,CIVIL,1,B,54.12,87.72,12.18,11,6,87.82,-2.63
CSE20230083,Faras Bhagat,CSE,1,B,51.69,61.78,13.62,34,5,86.38,1.78
MECH20220084,Bina Vig,MECH,4,A,47.16,54.48,17.2,40,5,82.8,-2.47
CIVIL20210085,Bhavani Srinivas,CIVIL,5,B,87.22,98.05,6.15,1,6,93.85,0.57
MECH20210086,Dayita Wali,MECH,5,A,83.45,95.51,5.83,4,6,94.17,2.78
CIVIL20220087,Abeer Virk,CIVIL,3,C,73.96,65.08,9.25,31,5,90.75,1.52
ECE20230088,Gauri Barad,ECE,2,C,55.36,63.46,13.35,32,5,86.65,4.2
CIVIL20200089,Balveer Prabhakar,CIVIL,8,A,49.76,40.29,12.59,53,6,87.41,-0.3
ECE20230090,Abhiram Lal,ECE,2,B,74.07,70.4,9.54,26,6,90.46,0.19
CIVIL20220091,Vidhi Minhas,CIVIL,4,B,55.08,84.5,7.58,13,5,92.42,0.99
IT20200092,Jack Pathak,IT,7,A,67.97,87.31,14.84,11,5,85.16,-4.06
IT20210093,Varsha Dugar,IT,6,A,49.92,54.11,10.8,41,5,89.2,-0.01
CSE20210094,Varsha Parmar,CSE,6,B,95.7,95.58,7.26,3,5,92.74,2.74
CIVIL20230095,Aarav Ram,CIVIL,1,B,43.94,89.9,20.67,9,6,79.33,2.45
CSE20220096,Unni Kadakia,CSE,3,C,93.63,79.97,2.96,18,6,97.04,0.01
MECH20230097,Divya Bhardwaj,MECH,2,C,66.61,82.41,13.65,15,6,86.35,-1.08
CIVIL20210098,Neel Sidhu,CIVIL,5,C,52.59,63.52,5.6,32,6,94.4,-4.73
CSE20220099,Ojasvi Tank,CSE,4,A,93.52,85.45,6.31,13,5,93.69,-3.7
MECH20210100,Teerth Bahri,MECH,5,B,45.22,54.78,19.86,40,5,80.14,1.11
ECE20230101,Zayyan Garde,ECE,2,B,68.83,70.91,11.96,26,5,88.04,4.18
IT20200102,Ishanvi Bhargava,IT,7,B,93.41,86.32,3.74,12,5,96.26,-2.29
IT20200103,Damyanti Kanda,IT,7,A,37.93,42.43,18.99,51,6,81.01,-4.19
CIVIL20220104,Leela Kashyap,CIVIL,4,A,74.76,79.59,11.95,18,5,88.05,-0.71
CSE20200105,Mugdha Subramaniam,CSE,7,C,53.68,73.19,5.88,24,5,94.12,-4.53
MECH20220106,Zinal Lalla,MECH,3,C,71.07,85.16,6.08,13,5,93.92,-1.88
IT20220107,Anjali Soni,IT,4,B,59.83,87.36,8.49,11,5,91.51,-2.76
CSE20220108,Ekta Bal,CSE,4,B,41.05,49.54,14.7,45,5,85.3,-3.21
CSE20220109,Hitesh Mitra,CSE,3,A,27.33,30.46,18.33,62,6,81.67,4.41
CIVIL20210110,Ikshita Parmar,CIVIL,5,B,58.88,83.92,9.11,14,5,90.89,-3.66
IT20220111,Naksh Suri,IT,3,A,94.13,94.48,6.67,4,6,93.33,-2.21
CIVIL20230112,Sachi Bir,CIVIL,2,B,52.79,72.16,12.07,25,6,87.93,0.03
CIVIL20210113,Vansha Vyas,CIVIL,5,A,33.62,74.02,14.41,23,5,85.59,-4.65
CIVIL20210114,Oliver Lanka,CIVIL,5,C,29.19,33.75,14.94,59,5,85.06,-2.03
CSE20200115,Indira Misra,CSE,7,B,41.88,42.49,10.32,51,5,89.68,0.04
CIVIL20200116,Hemangini Chauhan,CIVIL,8,C,87.71,89.44,6.35,9,6,93.65,-1.86
MECH20230117,Harini Sibal,MECH,2,A,71.54,79.73,14.19,18,6,85.81,-2.01
CIVIL20230118,Ikshita Radhakrishnan,CIVIL,2,A,61.28,67.76,11.57,29,5,88.43,-4.86
CIVIL20230119,Yashica Agrawal,CIVIL,1,C,93.84,94.82,4.1,4,5,95.9,-2.2
IT20200120,Shravya Venkataraman,IT,8,C,32.49,51.62,11.97,43,5,88.03,-4.39
ECE20200121,Bhanumati Sant,ECE,7,C,24.03,78.77,7.11,19,5,92.89,3.46
IT20200122,Arya Wali,IT,7,A,61.23,67.18,8.66,29,6,91.34,-1.95
CSE20220123,Praneel Yogi,CSE,4,A,63.84,74.57,9.5,22,6,90.5,0.29
MECH20200124,Mitali Kothari,MECH,7,A,83.52,92.64,3.28,6,5,96.72,-1.54
MECH20230125,Zilmil Parmer,MECH,1,A,95.1,89.87,2.88,9,6,97.12,-1.67
MECH20230126,Widisha Pillai,MECH,1,B,22.28,61.88,5.93,34,5,94.07,4.06
IT20210127,Amrita Bobal,IT,6,B,70.56,85.23,6.28,13,6,93.72,4.21
ECE20200128,Abeer Varghese,ECE,8,C,93.22,89.07,7.39,9,5,92.61,4.79
CSE20220129,Varenya Contractor,CSE,4,B,93.51,92.93,2.42,6,5,97.58,2.1
IT20220130,Qabil Dora,IT,4,C,29.33,40.26,16.14,53,5,83.86,1.69
CSE20230131,Ikbal Ramachandran,CSE,1,C,23.99,78.17,15.15,19,5,84.85,1.31
IT20230132,Abhiram Modi,IT,2,A,74.79,84.52,13.16,13,5,86.84,3.78
MECH20210133,Anmol Sibal,MECH,6,B,77.93,86.18,7.79,12,5,92.21,4.52
IT20220134,Agastya Mann,IT,3,A,62.22,77.27,13.87,20,5,86.13,-4.69
ECE20220135,Kai Mangal,ECE,3,C,78.44,87.99,2.17,10,5,97.83,-2.28
CSE20200136,Indira Shankar,CSE,8,A,89.56,92.29,6.97,6,5,93.03,0.07
ECE20230137,Yutika Goda,ECE,1,B,72.59,77.44,8.86,20,6,91.14,-3.09
CSE20230138,Omaja Bandi,CSE,2,B,73.32,83.85,8.31,14,6,91.69,0.55
CSE20220139,Pranav Mitter,CSE,3,C,69.18,84.26,8.5,14,5,91.5,1.61
CIVIL20220140,Urishilla Arora,CIVIL,4,B,55.61,79.35,7.49,18,6,92.51,-1.66
IT20230141,Jatin Gaba,IT,2,B,82.02,90.39,3.37,8,5,96.63,0.42
ECE20220142,Samar Mand,ECE,3,C,45.83,44.19,7.6,50,5,92.4,-1.24
ECE20210143,Ishaan Ramakrishnan,ECE,5,C,26.03,69.58,18.76,27,6,81.24,-4.26
MECH20210144,Sai Samra,MECH,5,C,76.3,90.56,7.38,8,5,92.62,0.75
ECE20210145,Samarth Peri,ECE,5,A,60.81,73.31,9.38,24,5,90.62,2.65
ECE20200146,Mohini Kashyap,ECE,8,C,61.4,88.78,11.35,10,5,88.65,3.61
CSE20210147,Umang Gill,CSE,5,C,21.14,54.4,19.06,41,6,80.94,4.37
ECE20210148,Siya Merchant,ECE,6,A,53.43,62.98,10.73,33,5,89.27,0.76
IT20230149,Siddharth Aggarwal,IT,1,B,33.91,89.76,16.87,9,6,83.13,-1.22
IT20200150,Kritika Jhaveri,IT,7,A,54.65,68.28,6.03,28,5,93.97,-2.18
CIVIL20210151,Isaac Gokhale,CIVIL,6,A,73.89,65.58,5.32,30,5,94.68,2.21
CSE20230152,Dev Dayal,CSE,1,B,56.41,67.81,5.4,28,6,94.6,3.35
ECE20210153,Kevin Dhillon,ECE,6,A,35.92,54.54,12.0,40,5,88.0,1.56
MECH20200154,Chatura Agate,MECH,8,C,89.98,89.09,4.75,9,6,95.25,4.2
IT20220155,Chaman Samra,IT,4,B,73.01,97.76,13.85,2,6,86.15,-4.28
CIVIL20220156,Anamika Mall,CIVIL,3,B,93.45,97.28,5.66,2,6,94.34,-4.54
ECE20210157,Gunbir Lad,ECE,5,A,82.39,95.88,5.16,3,5,94.84,1.2
IT20210158,Nathan Kaul,IT,6,C,30.29,37.94,10.23,55,5,89.77,-0.33
IT20210159,Chakrika Natarajan,IT,6,C,68.69,63.71,13.34,32,5,86.66,1.42
MECH20210160,Nidra Gour,MECH,5,C,56.16,68.23,12.0,28,6,88.0,-0.46
ECE20220161,Faqid Dalal,ECE,3,B,69.14,85.87,5.91,12,6,94.09,3.22
ECE20200162,Zehaan Brahmbhatt,ECE,7,A,21.09,70.2,4.52,26,6,95.48,1.67
CSE20230163,Isaiah Raval,CSE,1,C,24.75,40.33,15.67,53,5,84.33,0.18
IT20210164,Rajeshri Karpe,IT,5,A,32.55,58.68,7.0,37,5,93.0,0.82
IT20200165,Keya Saxena,IT,7,C,43.97,30.71,17.79,62,6,82.21,1.17
CIVIL20200166,Tara Majumdar,CIVIL,7,A,74.89,67.16,9.47,29,5,90.53,4.84
CSE20210167,Christopher Khalsa,CSE,5,B,35.06,43.84,17.2,50,6,82.8,4.01
CSE20230168,Patrick Dutt,CSE,2,C,23.19,43.57,7.9,50,5,92.1,3.95
CIVIL20200169,Vansha Deol,CIVIL,8,B,58.87,80.92,5.14,17,6,94.86,4.3
CIVIL20220170,Onkar Sami,CIVIL,3,B,64.91,83.56,10.11,14,5,89.89,-2.73
CSE20230171,Rachit Srivastava,CSE,2,B,62.8,75.87,11.72,21,6,88.28,4.54
ECE20210172,Eesha Vig,ECE,5,A,25.39,93.41,6.44,5,6,93.56,4.33
CIVIL20220173,Chandani Anand,CIVIL,4,C,44.76,47.74,10.45,47,6,89.55,-0.39
CSE20200174,Gagan Merchant,CSE,8,A,60.28,73.42,10.18,23,5,89.82,3.76
MECH20230175,Ekaja Ramesh,MECH,1,C,73.59,68.13,5.93,28,6,94.07,-4.02
MECH20210176,Yauvani Ahluwalia,MECH,6,A,78.15,93.92,7.76,5,5,92.24,1.24
MECH20230177,Hiral Chadha,MECH,2,A,47.88,56.66,9.43,39,6,90.57,2.16
CIVIL20230178,Pushti Bhatti,CIVIL,1,B,65.93,82.76,5.99,15,5,94.01,3.96
ECE20220179,Wakeeta Toor,ECE,3,B,33.46,68.58,13.39,28,6,86.61,-3.95
MECH20210180,Jonathan Bhatia,MECH,6,B,96.94,98.52,5.42,1,5,94.58,-2.49
ECE20210181,Advik Kashyap,ECE,5,A,67.87,65.72,8.24,30,5,91.76,-1.23
CSE20230182,Divya Sura,CSE,2,C,74.52,60.69,7.96,35,6,92.04,-3.71
ECE20230183,Abeer Ramesh,ECE,1,B,63.78,86.53,11.96,12,6,88.04,2.44
ECE20220184,Mohini Virk,ECE,4,A,73.55,81.17,7.53,16,6,92.47,3.62
CIVIL20210185,Harish Chokshi,CIVIL,5,A,74.82,63.98,2.23,32,5,97.77,-4.6
ECE20220186,Veer Kapadia,ECE,4,B,42.82,30.29,17.16,62,6,82.84,-0.25
IT20210187,Mohammed Srinivas,IT,5,B,92.78,89.53,5.47,9,5,94.53,4.79
CIVIL20210188,Anvi Ahuja,CIVIL,6,B,35.25,36.11,12.12,57,5,87.88,2.17
CIVIL20210189,Raghav Kumar,CIVIL,6,C,59.85,84.67,13.01,13,5,86.99,0.77
MECH20220190,Vansha Agrawal,MECH,3,B,82.66,98.34,2.9,1,5,97.1,4.97
ECE20230191,Victor Madan,ECE,1,C,57.64,78.55,7.81,19,5,92.19,2.26
CSE20210192,Farhan Mohan,CSE,5,A,82.15,85.99,4.04,12,5,95.96,3.49
IT20210193,Laksh Manne,IT,5,A,66.44,82.84,5.63,15,5,94.37,4.88
ECE20200194,Jairaj Dani,ECE,8,A,28.35,55.06,5.42,40,6,94.58,3.65
ECE20230195,Ojas Oza,ECE,1,C,38.08,43.52,14.18,50,5,85.82,2.34
CIVIL20220196,Sachi Kapur,CIVIL,4,B,90.61,92.89,5.75,6,6,94.25,-3.24
ECE20220197,Gauri Shah,ECE,3,A,53.33,78.55,13.43,19,6,86.57,-3.11
ECE20220198,Rachita Tank,ECE,4,C,94.31,99.4,3.29,0,5,96.71,1.46
ECE20200199,Ekbal Chaudry,ECE,7,C,77.86,90.67,6.21,8,5,93.79,1.91
CIVIL20200200,Jeevika Suri,CIVIL,8,B,68.95,69.41,14.25,27,5,85.75,-3.98
CIVIL20210201,Ria Nayak,CIVIL,6,A,67.05,62.71,5.59,33,5,94.41,-0.55
ECE20200202,Lekha Wagle,ECE,8,A,65.08,62.24,9.44,33,6,90.56,-2.72
IT20210203,Azaan Chowdhury,IT,6,C,25.07,42.58,17.57,51,5,82.43,1.2
CSE20230204,Vritti Dave,CSE,2,A,26.68,44.34,5.96,50,5,94.04,-1.63
IT20210205,Meghana Manne,IT,5,B,23.74,32.34,10.54,60,6,89.46,-3.72
CSE20210206,Kamya Dugar,CSE,6,B,81.51,90.88,6.11,8,5,93.89,0.37
IT20210207,Aarini Wali,IT,5,A,50.41,61.83,10.42,34,5,89.58,1.0
ECE20230208,Yutika Sampath,ECE,1,A,63.95,80.42,10.57,17,6,89.43,-4.31
CSE20200209,Caleb Tara,CSE,7,C,96.64,96.51,2.89,3,6,97.11,1.6
CSE20230210,Falguni Kota,CSE,1,C,61.11,74.93,7.21,22,5,92.79,-2.82
ECE20230211,Utkarsh Balan,ECE,1,C,58.41,82.35,14.03,15,5,85.97,1.33
MECH20200212,Panini Natt,MECH,7,C,64.02,63.3,11.7,33,6,88.3,-1.76
IT20210213,Unni Mahajan,IT,5,A,90.86,90.01,2.02,8,6,97.98,-1.41
IT20230214,Girik Sekhon,IT,1,B,69.26,75.33,12.65,22,5,87.35,-0.82
CSE20230215,Veda Hegde,CSE,2,B,64.84,85.93,10.12,12,5,89.88,3.15
IT20200216,Unni Sachar,IT,7,A,82.41,89.99,5.04,9,6,94.96,1.47
CIVIL20210217,Anjali Tailor,CIVIL,6,B,22.03,68.38,11.87,28,6,88.13,-4.5
CIVIL20200218,Fitan Keer,CIVIL,7,C,66.17,78.44,8.94,19,6,91.06,-2.86
CSE20230219,Devika Baral,CSE,1,B,32.27,42.12,17.35,52,5,82.65,4.71
MECH20230220,Lekha Dara,MECH,1,C,70.9,80.02,12.01,17,5,87.99,-4.39
CIVIL20230221,Arya Venkataraman,CIVIL,2,B,55.25,81.69,7.81,16,5,92.19,3.56
CSE20200222,Quincy Loke,CSE,7,B,25.3,57.42,13.2,38,5,86.8,0.48
CSE20230223,Indali Bakshi,CSE,1,A,78.61,90.14,5.55,8,5,94.45,1.1
CIVIL20230224,Unni Ramesh,CIVIL,1,C,96.04,91.15,4.32,7,6,95.68,-2.13
ECE20210225,Devansh Chander,ECE,5,C,52.12,74.84,10.9,22,5,89.1,-4.11
CIVIL20210226,Oni Natt,CIVIL,5,A,97.52,93.18,7.61,6,6,92.39,-4.73
ECE20200227,Vaishnavi Kaur,ECE,8,B,38.31,58.14,16.56,37,6,83.44,-4.44
CSE20210228,Abdul Ranganathan,CSE,6,A,58.49,86.62,13.23,12,5,86.77,1.97
CIVIL20220229,Avni Verma,CIVIL,3,A,38.46,34.51,11.15,58,5,88.85,-4.0
CIVIL20230230,Manbir Basak,CIVIL,2,A,92.46,95.94,5.98,3,6,94.02,-0.57
CIVIL20220231,Gavin Om,CIVIL,3,A,71.16,74.95,9.24,22,5,90.76,4.95
CSE20230232,Anirudh Bandi,CSE,1,B,24.52,58.31,11.86,37,5,88.14,4.88
IT20220233,Faras Ahuja,IT,4,A,67.64,73.83,9.14,23,5,90.86,3.7
CIVIL20200234,Dominic Iyer,CIVIL,7,B,80.84,86.37,4.96,12,5,95.04,-2.92
IT20230235,Raagini Shankar,IT,1,C,52.34,77.86,13.0,19,5,87.0,-2.72
ECE20230236,Vidhi Rao,ECE,2,A,59.3,80.48,7.48,17,5,92.52,-4.61
CIVIL20200237,Megha Devi,CIVIL,7,B,49.62,36.34,19.79,57,6,80.21,4.28
CSE20220238,Fiyaz Chaudhari,CSE,3,A,37.89,67.85,24.38,28,5,75.62,3.09
MECH20200239,Yahvi Khurana,MECH,8,B,86.51,87.28,3.39,11,5,96.61,0.4
ECE20220240,Arunima Nadig,ECE,3,C,58.63,71.14,8.88,25,6,91.12,-2.07
MECH20230241,Damyanti Mani,MECH,1,B,37.41,53.93,8.08,41,5,91.92,3.43
ECE20210242,Ishanvi Parekh,ECE,6,B,35.53,57.17,13.91,38,6,86.09,4.87
ECE20210243,Chakradhar Rajagopal,ECE,6,B,96.17,95.94,4.48,3,5,95.52,-2.34
MECH20210244,Falan Mann,MECH,6,B,57.0,70.69,7.14,26,5,92.86,-3.37
CIVIL20200245,Abeer Cheema,CIVIL,8,A,44.97,39.18,5.87,54,6,94.13,2.92
CSE20230246,Qabil Srinivas,CSE,2,B,49.42,57.52,14.82,38,6,85.18,2.46
MECH20230247,Onkar Nanda,MECH,2,C,25.08,48.53,14.58,46,5,85.42,2.71
CSE20200248,Sai Ramesh,CSE,8,C,57.49,81.29,6.92,16,5,93.08,3.17
CIVIL20210249,Bakhshi Solanki,CIVIL,6,C,86.64,99.02,3.2,0,5,96.8,-0.89
CIVIL20220250,Chavvi Atwal,CIVIL,4,A,71.19,81.16,7.66,16,5,92.34,1.58
IT20210251,Azad Nayak,IT,5,B,59.01,89.61,6.35,9,5,93.65,-3.66
ECE20220252,Rayaan Kalita,ECE,4,A,93.81,98.93,7.48,0,5,92.52,1.66
CSE20200253,Aditya Kaul,CSE,8,A,60.47,71.7,7.9,25,5,92.1,2.16
IT20230254,Ira Chad,IT,2,A,69.16,88.45,8.03,10,5,91.97,3.98
CIVIL20210255,Sneha Kar,CIVIL,6,A,51.51,74.91,7.26,22,5,92.74,3.56
MECH20230256,Nimrat Bhargava,MECH,2,A,88.82,95.95,4.93,3,6,95.07,-3.18
IT20210257,Frado Mutti,IT,6,C,44.87,53.15,18.19,42,6,81.81,-0.26
CSE20210258,Manya Tank,CSE,5,C,79.17,86.18,3.66,12,5,96.34,-1.98
CSE20210259,Siya Sule,CSE,5,A,79.5,40.57,22.06,53,5,77.94,1.87
ECE20210260,Sathvik Natt,ECE,6,A,62.17,80.51,9.46,17,6,90.54,3.45
ECE20210261,Dipta Koshy,ECE,5,A,48.97,34.54,10.3,58,6,89.7,-3.68
MECH20200262,Mohammed Venkatesh,MECH,7,C,54.46,64.08,6.98,32,6,93.02,-0.23
MECH20210263,Dayamai Comar,MECH,6,B,87.14,96.78,4.66,2,6,95.34,2.45
CIVIL20230264,Victor Desai,CIVIL,1,C,71.92,84.29,12.91,14,6,87.09,1.92
ECE20210265,Prisha Jaggi,ECE,6,A,26.66,47.24,21.9,47,6,78.1,1.41
ECE20210266,Oni Sant,ECE,6,A,50.68,77.05,11.88,20,5,88.12,-1.75
MECH20210267,Sara Sastry,MECH,6,A,66.43,72.68,13.12,24,5,86.88,3.94
IT20200268,Sudiksha Vohra,IT,7,A,67.05,70.66,7.46,26,5,92.54,-1.66
ECE20220269,Jyoti Madan,ECE,4,C,51.02,60.58,6.77,35,5,93.23,2.94
MECH20230270,Ayush Kala,MECH,2,C,67.59,64.11,12.91,32,5,87.09,4.82
CIVIL20200271,Jeremiah Narayan,CIVIL,8,A,40.4,86.47,22.06,12,6,77.94,-2.88
ECE20220272,Megha Malhotra,ECE,4,B,82.21,86.16,7.03,12,5,92.97,3.74
IT20220273,Keya Jha,IT,4,B,73.05,84.86,12.65,13,5,87.35,1.13
CIVIL20220274,Ayaan Lall,CIVIL,4,C,85.92,94.32,2.84,5,6,97.16,0.18
ECE20200275,Manthan Raman,ECE,7,C,58.78,61.05,13.28,35,6,86.72,-1.55
CSE20230276,Advika Bora,CSE,2,A,23.06,64.36,10.73,32,6,89.27,3.27
IT20200277,Rachit Srinivasan,IT,7,A,38.02,56.66,19.51,39,5,80.49,-3.85
MECH20200278,Omya Borra,MECH,7,B,51.05,85.29,6.29,13,5,93.71,-0.09
IT20230279,Kiaan Prashad,IT,2,B,64.59,67.3,9.54,29,6,90.46,4.47
IT20210280,Hemani Gole,IT,6,C,57.03,69.21,14.93,27,5,85.07,4.86
CIVIL20230281,Udarsh Maharaj,CIVIL,1,A,69.23,82.93,5.91,15,5,94.09,-0.11
CSE20210282,Udyati Patel,CSE,6,C,53.59,64.08,10.11,32,6,89.89,-0.53
